epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,7773.75,0.64744,0.37426,0.87351,0.90858,0.87286,0.91751,0.71255,0.66947,0.37076,0.89853,0.000492136,0.000492136,0.000492136
33,8025.45,0.64199,0.37138,0.87282,0.91408,0.8743,0.92478,0.72306,0.67214,0.36701,0.89971,0.000481141,0.000481141,0.000481141
34,8275.5,0.63732,0.36884,0.87205,0.9099,0.86796,0.91584,0.70989,0.66635,0.36509,0.89855,0.000470145,0.000470145,0.000470145
35,8526.95,0.62642,0.36321,0.86999,0.91694,0.86834,0.92463,0.72898,0.65579,0.36538,0.8953,0.00045915,0.00045915,0.00045915
36,8777.79,0.62285,0.35846,0.8662,0.91671,0.86588,0.92376,0.72028,0.65478,0.3587,0.89318,0.000448154,0.000448154,0.000448154
37,9028.6,0.62081,0.35666,0.86531,0.91878,0.86772,0.92983,0.73427,0.65392,0.35957,0.89341,0.000437158,0.000437158,0.000437158
38,9279.44,0.61636,0.35408,0.8636,0.93528,0.86747,0.92848,0.73554,0.64695,0.35357,0.89015,0.000426163,0.000426163,0.000426163
39,9530.31,0.60842,0.34864,0.86174,0.91683,0.88173,0.93181,0.74202,0.64398,0.35561,0.89229,0.000415167,0.000415167,0.000415167
40,9781.1,0.60717,0.34878,0.86308,0.92116,0.87276,0.93167,0.73891,0.64568,0.35146,0.89156,0.000404172,0.000404172,0.000404172
41,10031.9,0.60366,0.34656,0.86217,0.9183,0.86643,0.92224,0.72986,0.63846,0.34777,0.88946,0.000393176,0.000393176,0.000393176
42,10281.9,0.59598,0.34172,0.85825,0.91393,0.88247,0.92787,0.73864,0.63548,0.34453,0.88907,0.00038218,0.00038218,0.00038218
43,10532.6,0.5914,0.3383,0.8558,0.91034,0.8891,0.92648,0.73822,0.63827,0.35003,0.88839,0.000371185,0.000371185,0.000371185
44,10783.4,0.58344,0.33281,0.8549,0.91747,0.89338,0.93168,0.74356,0.63376,0.34564,0.88606,0.000360189,0.000360189,0.000360189
45,11034.2,0.58162,0.33327,0.85481,0.91803,0.89329,0.92914,0.74551,0.62547,0.33981,0.88645,0.000349194,0.000349194,0.000349194
46,11285.1,0.57791,0.3304,0.85218,0.91183,0.89371,0.929,0.74124,0.62791,0.34115,0.88603,0.000338198,0.000338198,0.000338198
47,11535.8,0.57327,0.32744,0.85064,0.92244,0.87841,0.92993,0.74353,0.62203,0.33932,0.88486,0.000327202,0.000327202,0.000327202
48,11786.4,0.56982,0.32493,0.85107,0.92124,0.88964,0.92871,0.74522,0.62659,0.33843,0.88654,0.000316207,0.000316207,0.000316207
49,12037.2,0.56334,0.32279,0.84871,0.92135,0.88428,0.92884,0.74693,0.62166,0.33719,0.88512,0.000305211,0.000305211,0.000305211
50,12287.9,0.5561,0.31983,0.84784,0.93231,0.87774,0.92934,0.75013,0.61871,0.33594,0.88487,0.000294216,0.000294216,0.000294216
51,12538.7,0.55468,0.31921,0.84656,0.93074,0.87994,0.93487,0.75152,0.6194,0.33586,0.882,0.00028322,0.00028322,0.00028322
52,12789.5,0.54797,0.31348,0.8439,0.93688,0.89277,0.93414,0.75506,0.61438,0.33073,0.88106,0.000272224,0.000272224,0.000272224
53,13040.3,0.54337,0.30943,0.84424,0.93329,0.88401,0.93307,0.75353,0.61175,0.33077,0.88142,0.000261229,0.000261229,0.000261229
54,13291.1,0.54009,0.30912,0.8432,0.93789,0.88671,0.93279,0.75647,0.61109,0.33104,0.8819,0.000250233,0.000250233,0.000250233
55,13542,0.53805,0.30625,0.84112,0.92623,0.89036,0.93398,0.75786,0.6081,0.32814,0.87949,0.000239238,0.000239238,0.000239238
56,249.817,0.53513,0.32314,0.84222,0.93823,0.87018,0.93358,0.75169,0.60846,0.32937,0.88581,0.000228242,0.000228242,0.000228242
57,500.403,0.52488,0.30324,0.83951,0.92617,0.89221,0.9321,0.75467,0.60596,0.32931,0.8824,0.000217246,0.000217246,0.000217246
58,751.151,0.52368,0.3011,0.83849,0.91785,0.89237,0.93048,0.75568,0.60439,0.32924,0.88103,0.000206251,0.000206251,0.000206251
59,1001.76,0.51556,0.29633,0.83679,0.93689,0.89076,0.93463,0.76007,0.60349,0.32726,0.88177,0.000195255,0.000195255,0.000195255
60,1252.6,0.51635,0.2971,0.83782,0.9337,0.89611,0.93599,0.75895,0.6023,0.32544,0.88095,0.00018426,0.00018426,0.00018426
61,1503.3,0.50911,0.29272,0.83614,0.91548,0.90466,0.93717,0.76333,0.59946,0.32442,0.87954,0.000173264,0.000173264,0.000173264
62,1754.2,0.50327,0.29129,0.83346,0.92072,0.8979,0.93599,0.76288,0.59849,0.32326,0.88143,0.000162268,0.000162268,0.000162268
